set_id,name,year,theme,subtheme,themeGroup,category,pieces,age,price,imageURL,Age_Range,Price_Range
10569-1,Treasure Attack,2014,Duplo,,Pre-school,Normal,46,2,$29.99,https://images.brickset.com/sets/images/10569-1.jpg,1 to 4,$$
10576-1,Zoo Care,2014,Duplo,,Pre-school,Normal,9,2,$6.99,https://images.brickset.com/sets/images/10576-1.jpg,1 to 4,$
10577-1,Big Royal Castle,2014,Duplo,,Pre-school,Normal,135,2,$59.99,https://images.brickset.com/sets/images/10577-1.jpg,1 to 4,$$$
10585-1,Mom and Baby,2015,Duplo,,Pre-school,Normal,13,2,$9.99,https://images.brickset.com/sets/images/10585-1.jpg,1 to 4,$
10586-1,Ice Cream Truck,2015,Duplo,,Pre-school,Normal,11,2,$14.99,https://images.brickset.com/sets/images/10586-1.jpg,1 to 4,$
10587-1,Café,2015,Duplo,,Pre-school,Normal,52,2,$19.99,https://images.brickset.com/sets/images/10587-1.jpg,1 to 4,$
10589-1,Rally Car,2015,Duplo,,Pre-school,Normal,13,2,$14.99,https://images.brickset.com/sets/images/10589-1.jpg,1 to 4,$
10590-1,Airport,2015,Duplo,,Pre-school,Normal,29,2,$19.99,https://images.brickset.com/sets/images/10590-1.jpg,1 to 4,$
10601-1,Delivery Vehicle,2015,Duplo,,Pre-school,Normal,19,2,$19.99,https://images.brickset.com/sets/images/10601-1.jpg,1 to 4,$
10602-1,Camping,2015,Duplo,,Pre-school,Normal,38,2,$29.99,https://images.brickset.com/sets/images/10602-1.jpg,1 to 4,$$
10801-1,Baby Animals,2016,Duplo,,Pre-school,Normal,13,2,$9.99,https://images.brickset.com/sets/images/10801-1.jpg,1 to 4,$
10802-1,Savanna,2016,Duplo,,Pre-school,Normal,18,2,$19.99,https://images.brickset.com/sets/images/10802-1.jpg,1 to 4,$
10803-1,Arctic,2016,Duplo,,Pre-school,Normal,40,2,$29.99,https://images.brickset.com/sets/images/10803-1.jpg,1 to 4,$$
10804-1,Jungle,2016,Duplo,,Pre-school,Normal,86,2,$49.99,https://images.brickset.com/sets/images/10804-1.jpg,1 to 4,$$
10805-1,Around the World,2016,Duplo,,Pre-school,Normal,163,2,$99.99,https://images.brickset.com/sets/images/10805-1.jpg,1 to 4,$$$
10806-1,Horses,2016,Duplo,,Pre-school,Normal,20,2,$14.99,https://images.brickset.com/sets/images/10806-1.jpg,1 to 4,$
10807-1,Horse Trailer,2016,Duplo,,Pre-school,Normal,15,2,$19.99,https://images.brickset.com/sets/images/10807-1.jpg,1 to 4,$
10808-1,Little Plane,2016,Duplo,,Pre-school,Normal,13,2,$9.99,https://images.brickset.com/sets/images/10808-1.jpg,1 to 4,$
10809-1,Police Patrol,2016,Duplo,,Pre-school,Normal,15,2,$14.99,https://images.brickset.com/sets/images/10809-1.jpg,1 to 4,$
10814-1,Tow Truck,2016,Duplo,,Pre-school,Normal,28,2,$19.99,https://images.brickset.com/sets/images/10814-1.jpg,1 to 4,$
10820-1,Creative Construction Basket,2016,Duplo,,Pre-school,Normal,110,2,$59.99,https://images.brickset.com/sets/images/10820-1.jpg,1 to 4,$$$
10831-1,My First Caterpillar,2016,Duplo,,Pre-school,Normal,19,2,$9.99,https://images.brickset.com/sets/images/10831-1.jpg,1 to 4,$
10832-1,Birthday Party,2017,Duplo,,Pre-school,Normal,19,2,$14.99,https://images.brickset.com/sets/images/10832-1.jpg,1 to 4,$
10834-1,Pizzeria,2017,Duplo,,Pre-school,Normal,57,2,$29.99,https://images.brickset.com/sets/images/10834-1.jpg,1 to 4,$$
10835-1,Family House,2017,Duplo,,Pre-school,Normal,69,2,$39.99,https://images.brickset.com/sets/images/10835-1.jpg,1 to 4,$$
10837-1,Santa's Winter Holiday,2017,Duplo,,Pre-school,Normal,45,2,$29.99,https://images.brickset.com/sets/images/10837-1.jpg,1 to 4,$$
10900-1,Police Bike,2019,Duplo,,Pre-school,Normal,8,2,$9.99,https://images.brickset.com/sets/images/10900-1.jpg,1 to 4,$
10901-1,Fire Truck,2019,Duplo,,Pre-school,Normal,21,2,$19.99,https://images.brickset.com/sets/images/10901-1.jpg,1 to 4,$
10904-1,Baby Animals,2019,Duplo,,Pre-school,Normal,9,2,$9.99,https://images.brickset.com/sets/images/10904-1.jpg,1 to 4,$
10906-1,Tropical Island,2019,Duplo,,Pre-school,Normal,73,2,$59.99,https://images.brickset.com/sets/images/10906-1.jpg,1 to 4,$$$
10907-1,World Animals,2019,Duplo,,Pre-school,Normal,121,2,$99.99,https://images.brickset.com/sets/images/10907-1.jpg,1 to 4,$$$
10908-1,Plane,2019,Duplo,,Pre-school,Normal,12,2,$9.99,https://images.brickset.com/sets/images/10908-1.jpg,1 to 4,$
10910-1,Submarine Adventure,2019,Duplo,,Pre-school,Normal,24,2,$19.99,https://images.brickset.com/sets/images/10910-1.jpg,1 to 4,$
10919-1,Batcave,2020,Duplo,,Pre-school,Normal,33,2,$29.99,https://images.brickset.com/sets/images/10919-1.jpg,1 to 4,$$
10925-1,Playroom,2020,Duplo,,Pre-school,Normal,17,2,$14.99,https://images.brickset.com/sets/images/10925-1.jpg,1 to 4,$
10926-1,Bedroom,2020,Duplo,,Pre-school,Normal,16,2,$14.99,https://images.brickset.com/sets/images/10926-1.jpg,1 to 4,$
10927-1,Pizza Stand,2020,Duplo,,Pre-school,Normal,18,2,$9.99,https://images.brickset.com/sets/images/10927-1.jpg,1 to 4,$
10928-1,Bakery,2020,Duplo,,Pre-school,Normal,46,2,$34.99,https://images.brickset.com/sets/images/10928-1.jpg,1 to 4,$$
10929-1,Modular Playhouse,2020,Duplo,,Pre-school,Normal,129,2,$59.99,https://images.brickset.com/sets/images/10929-1.jpg,1 to 4,$$$
10930-1,Bulldozer,2020,Duplo,,Pre-school,Normal,10,2,$9.99,https://images.brickset.com/sets/images/10930-1.jpg,1 to 4,$
10931-1,Truck & Tracked Excavator,2020,Duplo,,Pre-school,Normal,20,2,$19.99,https://images.brickset.com/sets/images/10931-1.jpg,1 to 4,$
10932-1,Wrecking Ball Demolition,2020,Duplo,,Pre-school,Normal,56,2,$59.99,https://images.brickset.com/sets/images/10932-1.jpg,1 to 4,$$$
10933-1,Tower Crane & Construction,2020,Duplo,,Pre-school,Normal,123,2,$129.99,https://images.brickset.com/sets/images/10933-1.jpg,1 to 4,$$$$
10943-1,Happy Childhood Moments,2021,Duplo,,Pre-school,Normal,227,2,$99.99,https://images.brickset.com/sets/images/10943-1.jpg,1 to 4,$$$
10945-1,Garbage Truck and Recycling,2021,Duplo,,Pre-school,Normal,19,2,$19.99,https://images.brickset.com/sets/images/10945-1.jpg,1 to 4,$
10946-1,Family Camping Van Adventure,2021,Duplo,,Pre-school,Normal,30,2,$29.99,https://images.brickset.com/sets/images/10946-1.jpg,1 to 4,$$
10947-1,Race Cars,2021,Duplo,,Pre-school,Normal,44,2,$49.99,https://images.brickset.com/sets/images/10947-1.jpg,1 to 4,$$
10948-1,Parking Garage and Car Wash,2021,Duplo,,Pre-school,Normal,112,2,$99.99,https://images.brickset.com/sets/images/10948-1.jpg,1 to 4,$$$
10953-1,Unicorn,2021,Duplo,,Pre-school,Normal,8,2,$9.99,https://images.brickset.com/sets/images/10953-1.jpg,1 to 4,$
10955-1,Animal Train,2021,Duplo,,Pre-school,Normal,15,2,$19.99,https://images.brickset.com/sets/images/10955-1.jpg,1 to 4,$
10956-1,Amusement Park,2021,Duplo,,Pre-school,Normal,95,2,$109.99,https://images.brickset.com/sets/images/10956-1.jpg,1 to 4,$$$$
10957-1,Fire Helicopter & Police Car,2021,Duplo,,Pre-school,Normal,14,2,$9.99,https://images.brickset.com/sets/images/10957-1.jpg,1 to 4,$
10958-1,Creative Birthday Party,2021,Duplo,,Pre-school,Normal,200,2,$59.99,https://images.brickset.com/sets/images/10958-1.jpg,1 to 4,$$$
10961-1,Airplane & Airport,2021,Duplo,,Pre-school,Normal,28,2,$29.99,https://images.brickset.com/sets/images/10961-1.jpg,1 to 4,$$
10959-1,Police Station & Helicopter,2022,Duplo,,Pre-school,Normal,40,2,$49.99,https://images.brickset.com/sets/images/10959-1.jpg,1 to 4,$$
10967-1,Police Motorcycle,2022,Duplo,,Pre-school,Normal,5,2,$9.99,https://images.brickset.com/sets/images/10967-1.jpg,1 to 4,$
10968-1,Doctor Visit,2022,Duplo,,Pre-school,Normal,34,2,$19.99,https://images.brickset.com/sets/images/10968-1.jpg,1 to 4,$
10969-1,Fire Truck,2022,Duplo,,Pre-school,Normal,21,2,$29.99,https://images.brickset.com/sets/images/10969-1.jpg,1 to 4,$$
10970-1,Fire Station & Helicopter,2022,Duplo,,Pre-school,Normal,117,2,$89.99,https://images.brickset.com/sets/images/10970-1.jpg,1 to 4,$$$
10971-1,Wild Animals of Africa,2022,Duplo,,Pre-school,Normal,10,2,$9.99,https://images.brickset.com/sets/images/10971-1.jpg,1 to 4,$
10972-1,Wild Animals of the Ocean,2022,Duplo,,Pre-school,Normal,32,2,$19.99,https://images.brickset.com/sets/images/10972-1.jpg,1 to 4,$
10973-1,Wild Animals of South America,2022,Duplo,,Pre-school,Normal,71,2,$54.99,https://images.brickset.com/sets/images/10973-1.jpg,1 to 4,$$$
10974-1,Wild Animals of Asia,2022,Duplo,,Pre-school,Normal,118,2,$99.99,https://images.brickset.com/sets/images/10974-1.jpg,1 to 4,$$$
10975-1,Wild Animals of the World,2022,Duplo,,Pre-school,Normal,143,2,$129.99,https://images.brickset.com/sets/images/10975-1.jpg,1 to 4,$$$$
10979-1,Wild Animals of Europe,2022,Duplo,,Pre-school,Normal,85,2,$69.99,https://images.brickset.com/sets/images/10979-1.jpg,1 to 4,$$$
10980-1,DUPLO Green Building Plate,2022,Duplo,,Pre-school,Normal,1,2,$14.99,https://images.brickset.com/sets/images/10980-1.jpg,1 to 4,$
2304-1,Large Building Plate,1992,Duplo,,Pre-school,Normal,1,1,$14.99,https://images.brickset.com/sets/images/2304-1.jpg,1 to 4,$
5506-1,Duplo Large Brick Box,2010,Duplo,,Pre-school,Normal,71,1,$29.99,https://images.brickset.com/sets/images/5506-1.jpg,1 to 4,$$
5507-1,Duplo Deluxe Brick Box,2010,Duplo,,Pre-school,Normal,102,1,$49.99,https://images.brickset.com/sets/images/5507-1.jpg,1 to 4,$$
5548-1,Duplo Building Fun,2010,Duplo,,Pre-school,Normal,81,1,$29.99,https://images.brickset.com/sets/images/5548-1.jpg,1 to 4,$$
5678-1,Policeman,2011,Duplo,,Pre-school,Normal,4,1,$4.99,https://images.brickset.com/sets/images/5678-1.jpg,1 to 4,$
5685-1,Vet,2011,Duplo,,Pre-school,Normal,4,1,$4.99,https://images.brickset.com/sets/images/5685-1.jpg,1 to 4,$
5793-1,Nurse's Car,2011,Duplo,,Pre-school,Normal,10,1,$9.99,https://images.brickset.com/sets/images/5793-1.jpg,1 to 4,$
5931-1,My First LEGO DUPLO Set,2011,Duplo,,Pre-school,Normal,31,1,$14.99,https://images.brickset.com/sets/images/5931-1.jpg,1 to 4,$
4623-1,Pink Brick Box,2012,Duplo,,Pre-school,Normal,30,1,$14.99,https://images.brickset.com/sets/images/4623-1.jpg,1 to 4,$
4624-1,Brick Box Green,2012,Duplo,,Pre-school,Normal,31,1,$14.99,https://images.brickset.com/sets/images/4624-1.jpg,1 to 4,$
4627-1,Fun With Bricks,2012,Duplo,,Pre-school,Normal,85,1,$29.99,https://images.brickset.com/sets/images/4627-1.jpg,1 to 4,$$
4631-1,My First Build,2012,Duplo,,Pre-school,Normal,59,1,$24.99,https://images.brickset.com/sets/images/4631-1.jpg,1 to 4,$
6758-1,Grow Caterpillar Grow!,2012,Duplo,,Pre-school,Normal,17,1,$12.99,https://images.brickset.com/sets/images/6758-1.jpg,1 to 4,$
6759-1,Busy Farm,2012,Duplo,,Pre-school,Normal,15,1,$12.99,https://images.brickset.com/sets/images/6759-1.jpg,1 to 4,$
6760-1,Let's Go! Vroom!,2012,Duplo,,Pre-school,Normal,12,1,$12.99,https://images.brickset.com/sets/images/6760-1.jpg,1 to 4,$
6784-1,Creative Sorter,2012,Duplo,,Pre-school,Normal,23,1,$19.99,https://images.brickset.com/sets/images/6784-1.jpg,1 to 4,$
10517-1,My First Garden,2013,Duplo,,Pre-school,Normal,38,1,$12.99,https://images.brickset.com/sets/images/10517-1.jpg,1 to 4,$
10552-1,Creative Cars,2013,Duplo,,Pre-school,Normal,40,1,$19.99,https://images.brickset.com/sets/images/10552-1.jpg,1 to 4,$
10553-1,Toddler Build and Play Cubes,2013,Duplo,,Pre-school,Normal,17,1,$12.99,https://images.brickset.com/sets/images/10553-1.jpg,1 to 4,$
10554-1,Toddler Build and Pull Along,2013,Duplo,,Pre-school,Normal,15,1,$14.99,https://images.brickset.com/sets/images/10554-1.jpg,1 to 4,$
10555-1,Creative Bucket,2013,Duplo,,Pre-school,Normal,65,1,$29.99,https://images.brickset.com/sets/images/10555-1.jpg,1 to 4,$$
10560-1,Peekaboo Jungle,2013,Duplo,,Pre-school,Normal,13,1,$12.99,https://images.brickset.com/sets/images/10560-1.jpg,1 to 4,$
10561-1,Toddler Starter Building Set,2013,Duplo,,Pre-school,Normal,37,1,$19.99,https://images.brickset.com/sets/images/10561-1.jpg,1 to 4,$
10566-1,Creative Picnic,2014,Duplo,,Pre-school,Normal,52,1,$24.99,https://images.brickset.com/sets/images/10566-1.jpg,1 to 4,$
10567-1,Toddler Build and Boat Fun,2014,Duplo,,Pre-school,Normal,18,1,$19.99,https://images.brickset.com/sets/images/10567-1.jpg,1 to 4,$
10570-1,All-in-One Gift Set,2014,Duplo,,Pre-school,Normal,30,1,$14.99,https://images.brickset.com/sets/images/10570-1.jpg,1 to 4,$
10571-1,All-in-One-Pink-Box-of-Fun,2014,Duplo,,Pre-school,Normal,65,1,$29.99,https://images.brickset.com/sets/images/10571-1.jpg,1 to 4,$$
10572-1,All-in-One-Box-of-Fun,2014,Duplo,,Pre-school,Normal,65,1,$29.99,https://images.brickset.com/sets/images/10572-1.jpg,1 to 4,$$
10573-1,Creative Animals,2014,Duplo,,Pre-school,Normal,25,1,$14.99,https://images.brickset.com/sets/images/10573-1.jpg,1 to 4,$
10574-1,Creative Ice Cream,2014,Duplo,,Pre-school,Normal,24,1,$14.99,https://images.brickset.com/sets/images/10574-1.jpg,1 to 4,$
10575-1,Creative Building Cube,2014,Duplo,,Pre-school,Normal,75,1,$29.99,https://images.brickset.com/sets/images/10575-1.jpg,1 to 4,$$
10580-1,Deluxe Box of Fun,2014,Duplo,,Pre-school,Normal,95,1,$49.99,https://images.brickset.com/sets/images/10580-1.jpg,1 to 4,$$
10603-1,My First Bus,2015,Duplo,,Pre-school,Normal,17,1,$14.99,https://images.brickset.com/sets/images/10603-1.jpg,1 to 4,$
10615-1,My First Tractor,2015,Duplo,,Pre-school,Normal,12,1,$14.99,https://images.brickset.com/sets/images/10615-1.jpg,1 to 4,$
10616-1,My First Playhouse,2015,Duplo,,Pre-school,Normal,25,1,$19.99,https://images.brickset.com/sets/images/10616-1.jpg,1 to 4,$
10617-1,My First Farm,2015,Duplo,,Pre-school,Normal,26,1,$19.99,https://images.brickset.com/sets/images/10617-1.jpg,1 to 4,$
10815-1,My First Rocket,2016,Duplo,,Pre-school,Normal,18,1,$9.99,https://images.brickset.com/sets/images/10815-1.jpg,1 to 4,$
10816-1,My First Cars and Trucks,2016,Duplo,,Pre-school,Normal,36,1,$19.99,https://images.brickset.com/sets/images/10816-1.jpg,1 to 4,$
10817-1,Creative Chest,2016,Duplo,,Pre-school,Normal,70,1,$29.99,https://images.brickset.com/sets/images/10817-1.jpg,1 to 4,$$
10818-1,My First Truck,2016,Duplo,,Pre-school,Normal,29,1,$19.99,https://images.brickset.com/sets/images/10818-1.jpg,1 to 4,$
10819-1,My First Garden,2016,Duplo,,Pre-school,Normal,25,1,$19.99,https://images.brickset.com/sets/images/10819-1.jpg,1 to 4,$
10845-1,My First Carousel,2017,Duplo,,Pre-school,Normal,24,1,$24.99,https://images.brickset.com/sets/images/10845-1.jpg,1 to 4,$
10847-1,My First Number Train,2017,Duplo,,Pre-school,Normal,23,1,$19.99,https://images.brickset.com/sets/images/10847-1.jpg,1 to 4,$
10849-1,My First Plane,2017,Duplo,,Pre-school,Normal,10,1,$4.99,https://images.brickset.com/sets/images/10849-1.jpg,1 to 4,$
10850-1,My First Birthday Cake,2017,Duplo,,Pre-school,Normal,8,1,$4.99,https://images.brickset.com/sets/images/10850-1.jpg,1 to 4,$
10851-1,My First Bus,2017,Duplo,,Pre-school,Normal,6,1,$4.99,https://images.brickset.com/sets/images/10851-1.jpg,1 to 4,$
10852-1,My First Parrot,2017,Duplo,,Pre-school,Normal,7,1,$4.99,https://images.brickset.com/sets/images/10852-1.jpg,1 to 4,$
10859-1,My First Ladybird,2018,Duplo,,Pre-school,Normal,6,1,$4.99,https://images.brickset.com/sets/images/10859-1.jpg,1 to 4,$
10860-1,My First Race Car,2018,Duplo,,Pre-school,Normal,6,1,$4.99,https://images.brickset.com/sets/images/10860-1.jpg,1 to 4,$
10909-1,Heart Box,2020,Duplo,,Pre-school,Normal,80,1,$19.99,https://images.brickset.com/sets/images/10909-1.jpg,1 to 4,$
10913-1,Brick Box,2020,Duplo,,Pre-school,Normal,65,1,$29.99,https://images.brickset.com/sets/images/10913-1.jpg,1 to 4,$$
10914-1,Deluxe Brick Box,2020,Duplo,,Pre-school,Normal,85,1,$49.99,https://images.brickset.com/sets/images/10914-1.jpg,1 to 4,$$
10915-1,Alphabet Truck,2020,Duplo,,Pre-school,Normal,36,1,$24.99,https://images.brickset.com/sets/images/10915-1.jpg,1 to 4,$
10917-1,Fire Truck,2020,Duplo,,Pre-school,Normal,6,1,$6.99,https://images.brickset.com/sets/images/10917-1.jpg,1 to 4,$
10918-1,Tow Truck,2020,Duplo,,Pre-school,Normal,7,1,$6.99,https://images.brickset.com/sets/images/10918-1.jpg,1 to 4,$
8285-1,Tow Truck,2006,Technic,,Technical,Normal,1877,11,$119.99,https://images.brickset.com/sets/images/8285-1.jpg,10 to 17,$$$$
8275-1,Motorized Bulldozer,2007,Technic,,Technical,Normal,1384,11,$149.99,https://images.brickset.com/sets/images/8275-1.jpg,10 to 17,$$$$
8063-1,Tractor with Trailer,2009,Technic,,Technical,Normal,1100,10,$99.99,https://images.brickset.com/sets/images/8063-1.jpg,10 to 17,$$$
8258-1,Crane Truck,2009,Technic,,Technical,Normal,1877,11,$149.99,https://images.brickset.com/sets/images/8258-1.jpg,10 to 17,$$$$
8265-1,Front Loader,2009,Technic,,Technical,Normal,1061,10,$79.99,https://images.brickset.com/sets/images/8265-1.jpg,10 to 17,$$$
8043-1,Motorized Excavator,2010,Technic,,Technical,Normal,1123,12,$199.99,https://images.brickset.com/sets/images/8043-1.jpg,10 to 17,$$$$
8052-1,Container Truck,2010,Technic,,Technical,Normal,686,10,$69.99,https://images.brickset.com/sets/images/8052-1.jpg,10 to 17,$$$
8053-1,Mobile Crane,2010,Technic,,Technical,Normal,1289,11,$99.99,https://images.brickset.com/sets/images/8053-1.jpg,10 to 17,$$$
8069-1,Backhoe Loader,2011,Technic,,Technical,Normal,609,10,$59.99,https://images.brickset.com/sets/images/8069-1.jpg,10 to 17,$$$
8070-1,Super Car,2011,Technic,,Technical,Normal,1281,11,$119.99,https://images.brickset.com/sets/images/8070-1.jpg,10 to 17,$$$$
8109-1,Flatbed Truck,2011,Technic,,Technical,Normal,1115,10,$99.99,https://images.brickset.com/sets/images/8109-1.jpg,10 to 17,$$$
8110-1,Mercedes-Benz Unimog U 400,2011,Technic,,Technical,Normal,2048,11,$199.99,https://images.brickset.com/sets/images/8110-1.jpg,10 to 17,$$$$
9395-1,Pick-Up Tow Truck,2012,Technic,,Technical,Normal,954,10,$69.99,https://images.brickset.com/sets/images/9395-1.jpg,10 to 17,$$$
9396-1,Helicopter,2012,Technic,,Technical,Normal,1056,10,$119.99,https://images.brickset.com/sets/images/9396-1.jpg,10 to 17,$$$$
9397-1,Logging Truck,2012,Technic,,Technical,Normal,1308,10,$139.99,https://images.brickset.com/sets/images/9397-1.jpg,10 to 17,$$$$
9398-1,4x4 Crawler,2012,Technic,,Technical,Normal,1327,11,$199.99,https://images.brickset.com/sets/images/9398-1.jpg,10 to 17,$$$$
41999-1,4x4 Crawler Exclusive Edition,2013,Technic,,Technical,Normal,1585,11,$199.99,https://images.brickset.com/sets/images/41999-1.jpg,10 to 17,$$$$
42000-1,Grand Prix Racer,2013,Technic,,Technical,Normal,1141,11,$129.99,https://images.brickset.com/sets/images/42000-1.jpg,10 to 17,$$$$
42006-1,Excavator,2013,Technic,,Technical,Normal,720,10,$79.99,https://images.brickset.com/sets/images/42006-1.jpg,10 to 17,$$$
42008-1,Service Truck,2013,Technic,,Technical,Normal,1276,10,$129.99,https://images.brickset.com/sets/images/42008-1.jpg,10 to 17,$$$$
42009-1,Mobile Crane MK II,2013,Technic,,Technical,Normal,2606,11,$219.99,https://images.brickset.com/sets/images/42009-1.jpg,10 to 17,$$$$
42024-1,Container Truck,2014,Technic,,Technical,Normal,948,10,$79.99,https://images.brickset.com/sets/images/42024-1.jpg,10 to 17,$$$
42025-1,Cargo Plane,2014,Technic,,Technical,Normal,1297,10,$139.99,https://images.brickset.com/sets/images/42025-1.jpg,10 to 17,$$$$
42029-1,Customised Pick-Up Truck,2014,Technic,,Technical,Normal,1063,10,$99.99,https://images.brickset.com/sets/images/42029-1.jpg,10 to 17,$$$
42030-1,Volvo L350F Wheel Loader,2014,Technic,,Technical,Normal,1636,11,$249.99,https://images.brickset.com/sets/images/42030-1.jpg,10 to 17,$$$$
42038-1,Arctic Truck,2015,Technic,,Technical,Normal,913,10,$84.99,https://images.brickset.com/sets/images/42038-1.jpg,10 to 17,$$$
42039-1,24 Hours Race Car,2015,Technic,,Technical,Normal,1219,11,$129.99,https://images.brickset.com/sets/images/42039-1.jpg,10 to 17,$$$$
42041-1,Race Truck,2015,Technic,,Technical,Normal,608,10,$69.99,https://images.brickset.com/sets/images/42041-1.jpg,10 to 17,$$$
42043-1,Mercedes-Benz Arocs 3245,2015,Technic,,Technical,Normal,2793,11,$229.99,https://images.brickset.com/sets/images/42043-1.jpg,10 to 17,$$$$
42050-1,Drag Racer,2016,Technic,,Technical,Normal,647,10,$79.99,https://images.brickset.com/sets/images/42050-1.jpg,10 to 17,$$$
42052-1,Heavy Lift Helicopter,2016,Technic,,Technical,Normal,1042,10,$139.99,https://images.brickset.com/sets/images/42052-1.jpg,10 to 17,$$$$
42053-1,Volvo EW160E,2016,Technic,,Technical,Normal,1166,10,$119.99,https://images.brickset.com/sets/images/42053-1.jpg,10 to 17,$$$$
42054-1,CLAAS XERION 5000 TRAC VC,2016,Technic,,Technical,Normal,1977,11,$179.99,https://images.brickset.com/sets/images/42054-1.jpg,10 to 17,$$$$
42055-1,Bucket Wheel Excavator,2016,Technic,,Technical,Normal,3929,12,$279.99,https://images.brickset.com/sets/images/42055-1.jpg,10 to 17,$$$$
42056-1,Porsche 911 GT3 RS,2016,Technic,,Technical,Normal,2704,16,$299.99,https://images.brickset.com/sets/images/42056-1.jpg,10 to 17,$$$$
